PhraseID,old_file,new_file,status
2057,1902_cxu_mi_devas_enregistri_cxi_tion_aux_cxu_mi_povas_kunporti_gxin.wav,1902_cxu_mi_devas_registrigi_cxi_tion_kiel_bagagxon_aux_cxu_mi_povas_kunporti_gxin.wav,moved_to:1902_cxu_mi_devas_enregistri_cxi_tion_aux_cxu_mi_povas_kunporti_gxin.wav
2089,1934_kiom_da_imposto_mi_devas_pagi.wav,1934_kiom_da_dogano_mi_devas_pagi.wav,moved_to:1934_kiom_da_imposto_mi_devas_pagi.wav
2100,1945_mi_havas_rifugxintan_statuson.wav,1945_mi_havas_statuson_de_rifugxinto.wav,moved_to:1945_mi_havas_rifugxintan_statuson.wav
2113,1958_vi_devas_pagi_imposton_por_cxi_tiuj_varoj.wav,1958_vi_devas_pagi_doganon_por_cxi_tiuj_varoj.wav,moved_to:1958_vi_devas_pagi_imposton_por_cxi_tiuj_varoj.wav
2143,1988_la_loka_tempo_estas_la_21_34.wav,1988_la_loka_tempo_estas_21_34.wav,moved_to:1988_la_loka_tempo_estas_la_21_34.wav
2157,2002_cxu_vi_povus_traduki_gxin_al_la_turka.wav,2002_cxu_vi_povus_traduki_gxin_en_la_turkan.wav,moved_to:2002_cxu_vi_povus_traduki_gxin_al_la_turka.wav
2193,2038_cxu_gxi_estas_mekanika_aux_auxtomata.wav,2038_cxu_gxi_havas_manan_aux_auxtomatan_transmision.wav,moved_to:2038_cxu_gxi_estas_mekanika_aux_auxtomata.wav
2199,2044_la_tanko_ne_estas_plena.wav,2044_la_benzinujo_ne_estas_plena.wav,moved_to:2044_la_tanko_ne_estas_plena.wav
2228,2073_cxu_mi_devas_redoni_la_auxton_kun_plena_tanko.wav,2073_cxu_mi_devas_redoni_la_auxton_kun_plena_benzinujo.wav,moved_to:2073_cxu_mi_devas_redoni_la_auxton_kun_plena_tanko.wav
2229,2074_vi_devas_redoni_gxin_kun_plena_tanko.wav,2074_vi_devas_redoni_gxin_kun_plena_benzinujo.wav,moved_to:2074_vi_devas_redoni_gxin_kun_plena_tanko.wav
2234,2079_cxu_mi_devas_pagi_antauxpagon.wav,2079_cxu_mi_devas_pagi_kauxcion.wav,moved_to:2079_cxu_mi_devas_pagi_antauxpagon.wav
2237,2082_cxu_mi_povus_lasi_la_auxton_cxe_mia_celloko.wav,2082_cxu_mi_povus_redoni_la_auxton_cxe_mia_celloko.wav,moved_to:2082_cxu_mi_povus_lasi_la_auxton_cxe_mia_celloko.wav
2284,2129_prenu_la_duan_turnon_dekstre.wav,2129_turnu_dekstren_cxe_la_dua_turnigxo.wav,moved_to:2129_prenu_la_duan_turnon_dekstre.wav
2303,2148_plenigu_la_tankon.wav,2148_plenigu_la_benzinujon.wav,moved_to:2148_plenigu_la_tankon.wav
2322,2167_la_baterio_elcxerpigxis.wav,2167_la_akumulatoro_malsxargigxis.wav,moved_to:2167_la_baterio_elcxerpigxis.wav
2326,2171_cxu_vi_povus_sendi_mehxanikiston.wav,2171_cxu_vi_povus_sendi_mekanikiston.wav,moved_to:2171_cxu_vi_povus_sendi_mehxanikiston.wav
2336,2181_cxu_vi_bonvolus_sxargi_la_baterion.wav,2181_cxu_vi_bonvolus_sxargi_la_akumulatoron.wav,moved_to:2181_cxu_vi_bonvolus_sxargi_la_baterion.wav
2348,2193_cxu_vi_bonvolus_aldoni_bremsfluajxon.wav,2193_cxu_vi_bonvolus_aldoni_bremslikvajxon.wav,moved_to:2193_cxu_vi_bonvolus_aldoni_bremsfluajxon.wav
2367,2212_busstrio.wav,2212_buskoridoro.wav,moved_to:2212_busstrio.wav
2374,2219_trafiklumo_regulado.wav,2219_trafiklumoj.wav,moved_to:2219_trafiklumo_regulado.wav
