row	esperanto	column	matched_tokens	current
1844	ventro	Japanese_Trans	nodo	{Ｂ}【解】腹, 腹部; 【理】（定常波の）腹, ><nodo
1855	vetero	Japanese_Trans	klimato	{Ｂ}【気】天候, 天気, >>klimato
1860	viando	Japanese_Trans	karno	{Ｂ}【料】肉（食肉）, >>karno
1864	vigla	Japanese_Trans	freŝa	{Ｂ}活発な, 元気な, 快活な, 生き生きした, はつらつとした, >>freŝa, >>vivoplena, >>rapidaga; 油断のない, 警戒を怠らない, >>observema; 【商】活況の
1871	vipo	Japanese_Trans	vergo	{Ｂ}（皮ひもなどを短い棒につけた）むち（鞭）, >>vergo, >>skurĝo
1880	vojaĝi	Japanese_Trans	migri	{Ｂ}［自］旅行する, 旅をする; （公務や外商で）出張する; （鳥などが）渡る, =migri; 《俗》（幻覚剤で）トリップする, 幻覚状態になる
1897	zorgi	Japanese_Trans	pri	{Ｂ}［自］（pri）配慮する, 気をつける, 世話をする; 気にかける, 心配する; ［他］（つとめを）果たす, 心がける
1923	ĉielo	Japanese_Trans	aero|paradizo	{Ｂ}空, 大空, 天, >>aero, >>firmamento; 【宗】天, 天国, >>paradizo
1930	ĉokolado	Japanese_Trans	kakao	{Ｂ}【菓】チョコレート; 【料】ココア（飲料）, >>kakao
1957	ŝati	Japanese_Trans	ami	{Ｂ}［他］価値を認める, 高く評価する, 尊重する; 好む, 好く, 愛好する, =ami
1962	ŝinko	Japanese_Trans	kolbaso	{Ｂ}【料】ハム, >>kolbaso
1967	ŝmiri	Japanese_Trans	lubriki	{Ｂ}［他］（油などを）塗る, 塗布する; （機械などに）グリースを塗る, 油を差す, >>lubriki; 《転》買収する
1977	ŝtato	Japanese_Trans	regno|sub	{Ｂ}（国民を統治する政治機構としての）国家, 国, 政府, >>regno; （米国やブラジルなどで）=sub〜（州）
1981	ŝtopi	Japanese_Trans	fliki	{Ｂ}［他］（穴・隙間などを）ふさぐ, 栓をする, 詰め物をする, 埋める; ふさいで邪魔をする, 閉鎖する; 詰めこむ, いっぱいにする; （布や編み物の穴を）繕う, かがる, >>fliki
2018	abstrakta	Japanese_Trans	konkreta	{Ｏ}抽象的な, ><konkreta; 観念的な; 【美】抽象派の
2022	akuŝi	Japanese_Trans	naski	{Ｏ}［他］出産する, 分娩する, >>naski
2028	antarkta	Japanese_Trans	arkta	{Ｂ}【地理】南極の, =sudpolusa, ><arkta
2044	banala	Japanese_Trans	vulgara	{Ｏ}平凡な, ありふれた, >>triviala, >>vulgara
2054	buso	Japanese_Trans	aŭto	{Ｂ}【車】バス（乗合自動車）, =aŭto〜 / 【情】バス
2058	damaĝi	Japanese_Trans	difekti|domaĝi	{Ｂ}［他］損害を与える, 損傷を与える, >>difekti, >>domaĝi
2070	distrikto	Japanese_Trans	gubernio|kvartalo|provinco	{Ｏ}【政】行政区, 地区, 地方, >>gubernio, >>provinco, >>departemento, >>kantono, >>kvartalo
