row	esperanto	flags	Japanese_Trans
1972	ŝpari	ja_contains_eq_tilde	{Ｂ}［他］たくわえる, ためる, 貯蓄する; 節約する, 倹約する; =〜gi
1977	ŝtato	ja_contains_eq_tilde|ja_contains_arrow_tilde	{Ｂ}（国民を統治する政治機構としての）国家, 国, 政府, >>〜; （米国やブラジルなどで）=〜（州）
1981	ŝtopi	ja_contains_arrow_tilde	{Ｂ}［他］（穴・隙間などを）ふさぐ, 栓をする, 詰め物をする, 埋める; ふさいで邪魔をする, 閉鎖する; 詰めこむ, いっぱいにする; （布や編み物の穴を）繕う, かがる, >>〜
2000	-id-	ja_tilde_ge4	{Ｂ}［接尾辞］（子・子孫を示す）, >>reĝ〜o, >>kok〜o / ［学術接尾辞］（化合物を示す）, >>cian〜o, >>klor〜o
2009	-on-	ja_contains_arrow_tilde	{Ｂ}［接尾辞］（分数を示す）, >>〜o
2022	akuŝi	ja_contains_arrow_tilde	{Ｏ}［他］出産する, 分娩する, >>〜
2044	banala	ja_contains_arrow_tilde	{Ｏ}平凡な, ありふれた, >>triviala, >>〜
2054	buso	ja_contains_eq_tilde	{Ｂ}【車】バス（乗合自動車）, =〜 / 【情】バス
2058	damaĝi	ja_contains_arrow_tilde	{Ｂ}［他］損害を与える, 損傷を与える, >>〜, >>〜
2070	distrikto	ja_contains_arrow_tilde	{Ｏ}【政】行政区, 地区, 地方, >>〜, >>〜, >>departemento, >>kantono, >>〜
2079	ekzemplero	ja_contains_arrow_tilde	{Ｏ}（本や新聞などの）一冊, 一部; （同種の生物の）個体, 標本, >>〜
2116	foti	ja_contains_eq_tilde	{Ｂ}［他］写真にとる, 撮影する, =〜ografi
2120	gambo	ja_contains_arrow_tilde	{Ｂ}【解】下肢, 脚部, >>〜
2125	gimnazio	ja_contains_arrow_tilde	{Ｏ}ギムナジウム（大学進学のための中等学校）, >>〜
2137	horizontala	ja_contains_arrow_tilde	{Ｂ}水平の, 横の, >>〜
2138	humuro	ja_contains_eq_tilde	{Ｂ}ユーモア（感覚）, こっけい, おかしみ, 諧謔（かいぎゃく）, >>ŝerco, >>sprito（気分=〜と区別）
2157	k.t.p.	placeholder_space_placeholder|eq_multi_placeholders|ja_contains_eq_tilde	{Ｏ}［略］=〜 〜 〜, ～など
2178	kokso	ja_contains_arrow_tilde	{Ｏ}【解】腰（左または右に張り出した部分）, >>〜, >>〜
2179	kolbaso	ja_contains_arrow_tilde	{Ｏ}【料】ソーセージ, >>〜; 【建】（火薬を詰めた）導火嚢（どうかのう）
2183	komentarii	ja_contains_eq_tilde	{Ｏ}［他］注釈をつける, 注解する; =〜（論評する）
2184	komenti	ja_contains_eq_tilde	{Ｏ}［他］論評する, 解説する; =〜arii（注釈をつける）
2197	konsonanto	ja_contains_arrow_tilde	{Ｏ}【声】子音, >>〜
2219	lumbo	ja_contains_arrow_tilde	{Ｏ}【解】腰, 腰部（背中の下部）, >>〜, >>〜
2235	merkato	ja_contains_arrow_tilde	{Ｏ}【経】市場（しじょう）, 販路; 取引, 売買, >>〜
2249	negativa	ja_contains_arrow_tilde	{Ｏ}消極的な; 否定的な; 【電】陰の; 【理】負の, Ｓ極の; 【数】負の; >>〜, ><〜
2254	nominativo	ja_contains_arrow_tilde	{Ｏ}【Ｇ】主格, 名格, >>〜
2256	novelo	ja_contains_arrow_tilde	{Ｏ}小説（短編小説）, 中編小説, >>〜
2271	parentezo	ja_contains_arrow_tilde	{Ｏ}（かっこで囲んだ）挿入句; 【印】かっこ（の組）, >>〜
2284	pozitiva	ja_contains_arrow_tilde	{Ｏ}積極的な, 建設的な, 実際的な, 現実的な, 確実な; 肯定的な; 実証的な; 【電】陽の; 【理】正の, Ｎ極の; 【数】正の; 【写】ポジの; >>〜, ><〜
2286	prefikso	ja_contains_arrow_tilde	{Ｏ}【Ｇ】接頭辞, >>〜
2296	prunti	placeholder_space_placeholder|ja_tilde_ge4	{Ｂ}［他］貸し借りする（〜 〜=貸す, 〜 〜=借りる）
2297	pseŭdo-	ja_contains_eq_tilde	{Ｂ}［接頭辞］（擬似・類似・準を示す）, =kaŝ-, =ŝajn-, =〜
2307	rekompenci	ja_contains_arrow_tilde	{Ｂ}［他］報いる, 褒美を与える, お礼をする, >>premii, >>〜
2315	satano	ja_contains_eq_tilde	{Ｏ}【宗】悪魔, =〜
2317	sfero	ja_contains_eq_tilde	{Ｏ}【数】球, 球面; =〜（球体）; 【史】（天体の）軌道; 《転》領域, 範囲, 圏
2330	stabila	ja_contains_arrow_tilde	{Ｏ}安定した, 永続する; 【理】安定な, >>meta〜, >>〜, >>labila
2334	stimuli	ja_contains_arrow_tilde	{Ｏ}［他］激励する, 励ます; 刺激する, >>〜, >>vigligi, >>sproni
2364	totala	ja_contains_arrow_tilde	{Ｂ}全体の, 総計の, >>〜, >>〜
2367	unio	ja_contains_arrow_tilde	{Ｏ}【政】同盟, 連合, >>unuiĝo, >>〜, >>konfederacio
2368	universo	ja_contains_arrow_tilde	{Ｏ}宇宙（森羅万象）, 万有, 森羅万象, 全世界, >>〜
2369	uragano	ja_contains_arrow_tilde	{Ｏ}（旋風性の）大暴風; 【気】颶風（ぐふう）（風力階級12）, >>〜, >>〜; 《転》あらし（嵐）
2372	uzino	ja_contains_arrow_tilde	{Ｂ}（大規模な）工場, プラント, 大工場; >>〜
2379	vertikala	ja_contains_arrow_tilde	{Ｂ}【数】【理】鉛直の; （地面に）垂直な, 縦の, >>〜
2389	zoo	ja_contains_eq_tilde	{Ｂ}［略］=〜logia 〜
2400	ŝtormo	ja_contains_arrow_tilde	{Ｏ}暴風, あらし; 【気】強風（風力階級７～10）, >>〜, >>〜
2483	budĝeto	ja_contains_eq_tilde	{Ｂ}予算, =〜
2695	meĥaniko	ja_contains_eq_tilde	{Ｂ}力学（メカニクス）, 機械学, =〜
2696	meĥanismo	ja_contains_eq_tilde	{Ｂ}機械装置（メカニズム）, 機構, =〜
2847	teĥniko	ja_contains_eq_tilde	{Ｂ}技術（テクノロジー）, =〜
2886	ĥemio	ja_contains_eq_tilde	{Ｂ}化学（ケミストリー）, =〜
